nome completo,matrícula,data de entrada,salário
Christopher Jones,33482444708,10/03/87,4843.55
Michael Johnson,147908938885,20/06/05,8812.59
Bonnie Shaw,475395840068,05/08/65,3750.91
Jerry Ballard,415893218543,19/09/94,5292.21
Ashley Clark,698280535057,24/02/83,7700.02
Jessica Benjamin,479251091743,27/06/88,5041.32
Brandy Adams,169328464574,19/05/72,5041.97
Robert Taylor,388791271206,07/02/96,7873.03
Ryan Dalton,778701518880,06/05/99,6707.31
Gerald Lynn,467877502099,06/07/97,9870.75
Melissa Robertson,379391537968,08/01/92,8597.64
Tiffany Alexander,806301230734,17/07/96,7830.94
Hannah Rosales,762139616926,05/01/63,8092.35
Kimberly Willis,399610290054,24/05/68,6621.19
Brenda Brooks,404608925408,22/05/05,6233.01
Don Mayo,870733714669,28/08/97,5065.62
Ryan Young,295632039191,18/11/79,5174.03
Alison Soto,846818747034,06/04/72,9297.78
Andrew Phillips,778747341441,09/02/80,6129.66
Charles Davis,936518593732,03/09/71,5196.97
Matthew Vega,29033023048,04/07/82,9071.87
Amanda Dunlap,439447262621,25/11/63,9925.09
James Serrano,170685813176,08/10/95,8344.19
Bonnie Edwards,402575407924,12/05/74,8675.61
Kara Cummings,761880935739,25/12/79,4289.66
Stephanie Hodges,53759881654,04/12/84,6671.79
John Goodwin,36970875164,02/07/64,5762.57
Carrie Owen,569991727762,21/12/71,5551.14
William Reed,646644394815,24/07/77,8517.81
Kayla Cox,543849217581,16/12/57,9652.1
Karen Nelson,846486887601,24/09/60,8366.66
Andrea Gross,754908441925,20/02/90,8950.45
Richard Fuentes,268755213636,18/09/89,9693.71
Kimberly Brown,863143682613,03/05/88,3388.77
Jimmy Robinson,437584331090,22/04/05,5031.72
Joyce Miller,324915466101,26/06/72,7430.9
Charles Ward MD,285506213430,27/05/66,5682.86
Jennifer Barker,796799909123,13/06/92,6720.18
Benjamin Melendez,110529339426,16/09/69,4870.41
Robin Green,395502979135,05/12/61,4397.4
Heather Bryant,733038452570,21/10/87,3784.71
Jacob Hunter,807900850824,09/09/76,7104.12
Matthew Dorsey,81248890937,10/04/96,6293.15
Angela Gonzalez,157132836601,28/04/67,9596.8
Teresa Morgan,334196543873,11/01/84,5589.92
Laura Marshall,615077292499,31/08/89,6190.58
John Lopez,990360810257,04/08/91,6681.68
Jill Cochran,493595758666,04/12/81,6160.9
Kimberly Green,767027261429,13/08/96,6558.19
Jocelyn Rodriguez,641189383548,04/04/02,6488.22
Maria Massey,976946298103,03/09/05,3967.69
Patricia Alvarez,307242551614,25/01/79,7465.79
Lauren Hernandez,887071457746,05/04/98,7909.46
Teresa Townsend,832419330182,16/12/98,8028.51
Jennifer Barnes,497615740717,28/08/91,7556.84
Zachary Perez,960899045015,12/02/04,8850.38
Kendra Powers,771009952196,04/12/91,3123.6
Megan Booker,602206299054,26/05/64,5932.17
Lori Ross,78716245303,04/03/90,4777.6
Gary Reyes,975285115858,25/03/73,7217.22
Michele Griffith,193339176609,02/01/05,5065.73
Vanessa Fitzpatrick,426024012173,13/05/60,3527.31
William Sanchez,55893282601,13/08/95,6627.02
Rachael Ingram,33811756085,29/11/68,5630.98
Paula James,922866793858,18/05/76,9609.49
Amber Stewart,372636859697,12/09/67,8744.88
Christian Nelson,950500375613,09/12/99,5480.38
Mrs. Lisa Edwards MD,487543153356,17/02/85,3593.05
Reginald Hudson,905758417049,23/12/64,7844.65
Jacob Ward,299927325131,17/11/77,6007.08
Erica Brown,63149458554,04/09/73,3760.0
Andrew Holloway,842388956039,23/06/77,6774.1
Kelly Sanchez,306623346647,08/02/64,9830.15
Alison Miller,146855444895,05/10/58,3796.43
Charles Martin,582426459157,03/11/97,4682.2
Allison Dudley,314117170133,13/04/58,9030.58
Janice Murphy,364804647479,03/06/62,9710.41
Christopher Holland,903947516629,07/04/79,9148.16
Elizabeth Green,928418735332,14/09/93,9565.34
Brian Parsons,617414112655,14/07/80,4718.26
Lucas Cole,436739348149,21/07/72,7015.4
Matthew Warren,500413097029,13/11/87,6550.95
Anthony Johnson,448703918933,21/07/72,7433.86
Kenneth Jacobs,598435356189,29/10/97,5088.63
Lindsey Higgins,729413613752,09/03/85,5635.89
Dr. Zoe Paul,293224525405,19/08/05,5135.28
Samuel Hammond,914205011257,08/04/60,8058.74
Jimmy Manning,990234115912,28/06/90,8474.03
Tony Ramirez,182835859081,12/08/97,5964.62
Kyle Gonzalez,427669573355,28/03/64,9840.21
Autumn Matthews,324101813805,25/01/93,3993.4
Michael Alvarez,956452744714,24/11/00,5144.24
Jennifer Rodgers,767081872470,31/12/04,4540.38
Dawn Benjamin,236444555823,11/04/84,3372.72
Paul Johnson,3338197179,23/11/04,9707.99
Paul White,188339286686,18/01/87,3775.17
Gina Michael,569305259369,30/08/89,9645.37
Brian Lewis,406341321535,30/03/64,5175.36
Paul Fisher,728813491213,17/10/82,5248.36
Aaron Monroe,15543521995,25/10/60,7504.51
Jeremy Bates,300673813757,24/07/72,8072.95
Joann Brown,581092601560,10/12/02,6458.42
Michael Ellison,62616145626,04/04/72,4728.21
Daniel Chambers,722644583015,11/12/67,4696.94
Bradley Anderson,297951229439,14/01/63,7189.31
Yvonne Clark,974826437104,02/02/85,4101.95
Jeffrey Heath,670511576348,04/04/98,9864.57
Leslie Beck,240526956919,10/01/76,7683.21
Robert Schmitt,48694331433,23/09/73,6431.31
Marvin Flores,214064705369,04/07/86,4569.53
Patricia Mason,904950536985,19/01/92,3381.19
Kenneth Gregory,385713637549,03/06/82,6209.63
Kenneth Powell,66247168067,17/12/58,4091.31
Tammy Bailey,419492025995,28/12/67,8608.21
Thomas Soto,903727223201,27/11/89,3839.94
Kyle Young,958109548099,06/04/58,8887.64
Misty Robinson,357024673887,12/10/92,7853.51
Heather Chapman,895729358205,27/11/93,8668.34
William Davis,980550219141,28/12/62,8355.22
Mario Miller,263437849609,04/03/78,8094.16
Joseph Miller,637419069564,31/10/91,8783.33
Kimberly Cline,917496682074,25/01/85,9464.46
Elizabeth Mitchell,200426012427,20/08/98,3633.97
Ashley Mclaughlin,209594571857,23/07/63,4154.15
Lisa Martinez,810116829070,15/02/82,7481.52
Kathleen Payne,44331110470,01/12/83,3146.94
Melissa Mcneil,385241836563,21/02/94,8369.67
Lisa Rivera,397049324647,16/02/04,7869.61
Arthur Potts,633106309876,17/11/79,5841.17
Amy Johnson,465056586541,04/08/02,9690.15
Betty Keller,979880528337,07/10/70,6458.86
Chad Coleman,922919525772,21/01/72,9308.73
Austin Mueller,862843615420,03/09/03,3757.31
Susan Mann,960550189528,22/11/98,7727.27
Manuel Campbell,883061905162,27/07/73,8192.27
Mike Willis,796853370421,18/06/97,7360.45
Jacqueline Green,162809513358,25/10/77,4713.79
Michelle Ellis,706649778957,04/09/77,6344.08
Jason Terry,363346460603,04/12/67,4902.11
Kimberly Jordan,197574631456,07/10/05,6190.22
Reginald Clark,217134358972,17/07/76,4837.48
Kayla Clark,838062240809,28/11/74,6035.98
Thomas Martinez,422377451063,02/09/91,5204.88
Morgan Mcguire,116932712147,14/04/65,8612.92
Billy Calderon,686351789968,24/09/00,8006.85
Tonya Chang,692053793544,16/09/65,5842.51
Jessica Smith,333434074922,26/03/98,4406.34
Daniel Hernandez,6116539689,04/09/97,7338.08
Chelsea Hart,270599028067,18/09/85,8255.6
Krystal Crawford,736006132242,22/11/89,8348.72
Jason Smith,133870319789,31/12/74,3393.74
Holly Chan,361042045629,26/10/80,4611.27
Michael Martinez,290394980341,28/09/60,3575.55
Juan Norris,51469133275,16/11/64,8703.33
Karen Wilson,915256251663,07/06/03,4153.35
Maureen Lee,167026997701,29/07/76,3736.99
Chase Hall,43426937802,19/04/77,6299.39
Dennis Jarvis,155466587992,06/01/81,3979.43
Melissa Brown,971910155161,06/02/71,5034.54
Anna Nguyen,524907630303,17/12/74,9291.95
Jason Blackwell,373242275445,07/06/04,4961.32
Lindsey Jones,660762392237,11/04/84,7883.34
Ruth Johnson,922453865938,27/11/99,3828.59
Lisa Brady,4895288464,08/03/62,6782.08
Sarah Morris,376097658753,07/12/59,4154.79
Patrick Cain,445901361409,17/01/03,4906.65
Dominic Ramirez,548586732330,24/02/03,4080.92
Patricia Hall,886799191409,12/06/72,7566.95
Richard James,886747908727,16/05/81,9722.67
John Stewart,50405715423,20/05/59,7944.73
Tracey Hahn,556676930215,22/01/95,7077.44
Daniel Guzman,856790875688,22/08/68,8824.3
John Fleming,330355728633,01/04/90,8327.53
Jonathan Reeves,105933987888,24/07/99,3532.17
Karen Lopez,745339466050,16/11/77,5851.99
Anthony Williams,655022350020,03/11/72,6560.61
Anne Singh,542581180075,24/04/78,9219.08
Elizabeth Goodwin,80539675274,13/02/94,9497.38
Stephen Peters,908371240088,22/03/94,7451.98
Tiffany Rose,524688106305,14/08/77,8518.71
Daniel Simon,833823974641,23/03/61,8849.16
Tina Welch,25821733867,11/08/05,9273.81
Kayla Williams,343486036422,01/12/79,5951.77
Christopher Cherry,922253064075,06/07/91,7681.53
Diana Hill,715761005286,29/09/67,7605.33
Sean Rice,699311396802,30/12/83,9979.48
Jennifer Middleton,12376190583,23/07/99,8517.19
Michelle Craig,79410874215,14/05/90,7450.13
Aaron Joseph,226263967097,27/07/70,7048.37
Richard Ramsey,998341569112,13/10/01,9643.6
Cynthia Cruz,705549696063,21/07/05,3532.95
Brian Ball,895771176885,06/09/02,8461.03
Denise Gray,724428202408,13/09/91,5183.69
Meghan Bonilla,531311945758,27/08/70,9605.44
Barry Watkins,499592393868,15/11/81,4745.55
Ross Francis,316947212075,02/03/78,3064.68
Meredith Fields,297887558574,04/02/99,9464.4
Kelly Jones,880216756432,13/06/00,6200.35
Chloe Martin,350433502834,19/08/91,9107.84
Melissa Williamson,155347095358,03/10/90,9153.89
Wendy Diaz,477139681872,15/10/64,5655.84
Amanda Shannon,261528655282,09/01/92,7329.73
Mary Flowers,756803642496,21/04/02,8453.05
Matthew Gonzalez,150427781968,18/11/81,3218.81
Joshua Lewis,191254965644,05/11/74,9053.23
Christian Vasquez,501058067792,11/06/64,6959.27
Lisa Sanders,282700448467,22/01/94,6620.48
Steven Nelson,531658644990,04/12/90,8485.72
David Martin,270444334196,13/06/75,4264.06
Ryan Torres,714565064817,03/05/90,8682.66
Haley Baird,923830075216,19/05/81,9909.05
William Flores,949201798824,16/11/78,3688.45
Katherine Chapman,336450825712,17/12/64,7746.52
Bonnie Murray,944320341039,15/06/05,3469.58
David Owens,580782675608,08/05/98,9791.97
Jill Stewart,764234730894,24/06/96,9794.76
Kimberly Salazar,395287452180,01/01/72,5944.12
Brandon Holt,767341828964,31/07/90,7848.56
Jason Paul,284186510803,25/10/69,9197.78
James Thomas DDS,634647566082,13/12/83,8790.46
Zachary Rivera,898137776508,26/09/01,4563.42
Jeanette Bailey,266328088944,07/06/64,6982.81
Denise Shaffer,592248798471,02/05/90,4505.4
Reginald Blackwell,256970923213,20/02/70,5801.7
Cynthia Ward,40742454022,22/01/66,7524.57
Ann Lopez,945475435526,07/07/69,6845.33
Lauren Williams,194665306592,02/05/72,8896.82
Joe Johnson,719822650800,14/05/73,8462.81
Barbara Hernandez,54302385586,15/11/74,4051.37
Kelsey Rivera PhD,125192119723,18/01/69,5396.08
Bryan Fowler,55393444371,16/05/63,3973.85
Lisa Lee,464479793823,15/12/91,8514.79
Amanda Serrano,984417066953,07/09/91,7282.6
Jose Baker,27486312664,03/01/99,4425.01
Sara Anderson,142003992960,25/04/02,8224.78
Parker Baker,343610065547,18/06/66,8751.09
Richard Shannon,512782063293,05/11/67,8940.5
Nathaniel Elliott,217732252944,29/03/72,9559.68
Ashley Castillo,832950256887,23/10/89,8886.06
Rebecca Sanchez,694375768440,27/07/74,3165.1
Jeffery Jones,977917524462,12/11/63,5286.19
Nathan Thompson,311978246794,09/11/98,8921.19
Carlos Woodward,972736380263,20/12/86,5705.57
Linda Merritt,977340760677,20/05/89,8300.82
Timothy Taylor,808326603235,29/09/60,3985.6
Jennifer Wallace,379651814122,20/08/71,7411.27
Robert Tyler,144240317341,04/12/93,7592.16
Cindy Lopez,467085515437,26/01/61,3684.58
David Adkins,42633822983,14/11/88,6668.87
Jeffrey Rodriguez,944197771868,25/12/66,7504.59
Katie Trevino,646170970671,27/02/86,6531.41
Samantha Brooks,740922091098,07/09/92,7361.01
Sarah Mclaughlin,661310097861,26/09/82,8054.25
Brittany Wood,350072520579,26/03/74,3445.08
Eric Rogers,813714234314,24/05/82,4539.39
Darlene Johnson,759932580456,02/04/75,6619.26
Laura Tran,749064107086,25/12/92,9465.29
Kari Fischer,43674601616,04/10/90,4278.95
Christina Beltran,631751289091,08/07/80,9816.32
Craig Poole,439475042727,11/04/77,7987.66
Nicole Adams,919066595969,08/02/91,4785.07
Barbara Riggs,491366698768,31/12/86,9980.77
Elizabeth Shaw,878167275362,24/06/89,6446.03
Margaret Gonzales,309325479793,11/01/74,3808.53
Edgar Gonzalez,955004630082,29/05/03,9646.28
Kurt Holt,55202030169,28/11/91,5499.25
Felicia Lewis,178265494457,14/03/73,8859.12
Robert Gould,464820191671,06/05/03,7588.83
Raymond Casey,463299118784,12/08/97,9945.88
Lauren Stevens,226912646232,05/03/78,5535.88
Virginia Taylor,542749018819,25/07/65,7352.32
Michael Lindsey,30623545908,19/09/01,4430.55
Joyce Warner,307210281223,14/05/61,8495.61
Kelly Williams,167969132562,11/11/65,7205.09
Thomas Burnett,869856454428,09/06/59,5901.11
Cheryl Clark,196583956309,25/10/69,9614.81
George Sanchez,922839075840,05/07/62,5354.72
Nicole Anderson,358942201777,10/01/62,5874.49
Priscilla Thomas,621165429862,30/04/04,7439.87
Margaret Steele,521516791587,30/06/90,8632.46
Gregory Johnson,732674995664,27/01/97,4572.26
Jill Cervantes,804282840936,18/04/90,6648.77
Kristi Miller,924848898335,25/01/91,5557.76
Emily Gonzalez,690579278375,04/05/90,9239.15
Jason Ward,530541614222,04/06/77,3158.31
Alexandra Wright,630834839729,30/10/77,9161.37
Gwendolyn Green,407763149517,13/03/95,9969.15
Steven Taylor,109324494611,18/04/81,9999.6
Johnny Wells,253010076504,07/03/81,4381.48
Roberta Salazar,757196228288,14/07/92,6541.24
William Ryan,805732896451,23/08/02,4559.83
Gary Terry,974487884117,25/11/04,6979.07
Ashley Hall,669805998751,16/06/01,4545.26
Claudia Zhang,475374544069,04/10/01,5419.33
Michael Weiss,442292908344,27/05/78,3315.89
Danielle Larson,904777111933,21/11/60,7451.75
Sarah Anderson,745025305284,30/01/04,6578.63
Scott Mendoza PhD,535218838295,23/05/58,3012.67
Robin Kim,52068234412,18/12/67,3373.27
Maria Miller,9348693048,20/02/93,8464.97
Angela Wright,814372276945,28/12/65,7095.28
David Soto,962925661388,26/03/68,6329.08
Paige Ferguson,255666863715,06/05/95,5190.14
Robert Hoover,715479780576,11/03/77,6223.48
Alexandra Wade,977285079744,06/01/73,5114.63
Anna Mcfarland,549039179811,15/08/72,3346.65
Mackenzie Mclaughlin,597500201256,24/12/01,4366.8
Sarah Lucas,375266776721,11/03/89,9311.56
Kathleen Johnson,272681432572,07/05/58,3942.63
Sarah Williamson,487714668607,12/03/65,7283.0
Lisa Mercado,147638760219,26/05/65,7949.07
Gabriel Calderon,32932305199,01/10/79,3103.94
Brooke Johnson,424625335981,13/02/63,4623.73
Christopher Hull,710547097253,17/02/05,3760.23
Jeff Stewart,567263407860,01/09/80,5831.2
Gina Walters,786503406639,11/01/78,7788.68
Brandon Jones,988133103626,09/02/83,9443.06
Joyce Gonzalez,635963938158,26/05/98,6070.4
Michael Fisher,687714482618,24/05/71,3825.47
Ian Carr,821319647349,25/09/92,9235.45
Jody Gilbert,553907227027,13/02/67,9202.76
Melissa Cowan,563751246417,21/01/60,7496.71
James Johnson,651750377535,11/01/64,3865.31
Joshua Rodriguez,445876328186,02/11/65,6313.84
Marissa Logan,503161745883,07/06/99,5254.27
Austin Keith,151539963632,28/03/58,8682.74
Zachary Williams,464407596907,14/08/70,4409.1
Jessica Berger,439183546806,09/04/87,9619.77
Phyllis Jones,308443324828,01/12/70,6800.15
Holly Martinez,666045115667,21/11/78,6024.53
Brandi Cole,460865416409,23/12/03,5924.19
Allison Ferguson,78681356608,31/10/68,4198.74
Allison Browning,831939087694,07/01/61,8951.62
Daniel Ramos,225215861343,02/03/96,3002.84
James Robinson,581598676256,02/04/86,5730.2
Michelle Bird,371621621433,14/01/94,4623.08
Mrs. Kristina Williams,438253744117,22/06/95,7222.4
Julie Mccoy,438983410389,13/04/81,9548.2
Thomas Carter,960491159282,10/12/79,7781.43
Samantha Ramirez,991070174379,29/08/90,5731.26
Adriana Orozco,81900959294,03/11/66,7591.26
Teresa Brown,634904875547,01/08/61,5370.6
Melinda Mueller,787326009185,30/10/70,9956.0
Kevin Martinez,217158536829,23/12/63,9929.31
Jonathan Morrison,825934953967,09/05/63,9335.73
Amy Lopez,367019816848,02/02/79,5663.06
Michael Williams,805415193914,10/01/80,5393.35
Dawn Johnson,932325823282,04/09/93,8852.3
Gregory Cooper,276823436187,09/06/91,4886.83
Laura Mahoney,86732682539,25/06/71,4531.19
Gary West,590318140918,01/03/69,5902.87
Vanessa Robertson,334072260164,21/03/87,4889.98
Lori Howell,552530879149,17/08/77,3803.03
Heather Maldonado,351353694607,09/12/88,5148.09
Timothy Proctor,569047150325,30/10/78,3933.24
Joy Camacho,811627117147,25/10/83,3041.39
Jonathan Robertson,720171921615,21/09/84,3107.65
Lisa Williams,724259618043,15/11/76,7991.61
Darrell Bruce PhD,805041424005,23/04/94,4791.47
Sharon Garcia,62558037870,29/10/58,3511.67
Andrew Avila,913136022429,21/09/58,8825.13
Mark Moore,584294035919,02/05/00,7429.67
Christina Fowler,966439698587,30/04/80,5508.25
Samantha Aguilar,803468822622,16/02/87,6996.15
Ariel Holland,849196547170,13/04/05,7255.73
Mario Sweeney,62799933160,31/10/87,5279.28
Kimberly Marks,679401337242,23/01/86,4524.3
Chad Lopez,337921752575,05/06/67,5459.2
Alisha Gutierrez,730226385919,17/03/98,7053.69
Jordan Gill,853468593011,18/05/94,9285.3
Joshua Shepherd,39734554019,03/01/89,7038.29
Mark Hill,357040572713,14/06/59,3755.88
Steven Lee,39213098581,06/07/83,7305.95
Jessica Duncan,731408676414,28/01/05,6407.04
Tiffany Bender,796025860407,24/01/98,9173.55
Felicia Mccarty,128236620143,21/01/82,4569.1
Eric Moore,291482736856,12/08/86,4541.16
Amber Wilson,673749804687,24/02/65,5748.82
Ryan Chambers,136313613507,03/11/96,9012.14
Daisy Cohen,587714803468,23/01/75,6636.4
Alison Roach,332682487512,21/09/86,5435.12
Amber Mason,752737652253,23/11/96,5272.92
Corey Ramos,705239821386,18/11/58,8423.94
Jennifer Fleming,47817267788,28/04/60,4857.98
Tyler Ferguson,913150310040,15/04/71,8675.25
Heidi Coleman,141601407139,18/01/00,3842.42
Barbara Young,162137828451,10/09/98,7534.68
Brian Hamilton,389720006609,31/03/88,7166.47
Omar Allen,742046434377,29/11/61,4361.08
Elizabeth Gomez,335700538078,07/06/99,3443.27
David Williams,404538303769,26/08/94,3276.59
Christopher Bauer,674627509592,20/12/03,7725.54
Shannon Hernandez,468505120620,20/06/93,8637.65
April Reid,254103960957,04/05/85,5491.86
Kelly Hansen,506118503190,20/11/76,5152.51
Hunter Douglas,358906142162,01/05/82,4933.73
Stephanie Vega,111000835988,15/11/58,8839.8
Travis Perry,21024803134,02/10/80,5782.64
Joshua Drake,504542142823,13/04/99,7902.06
Mrs. Deanna Logan,10160870886,16/01/63,4205.85
Andrew Snyder,486456850426,29/11/82,3312.03
Karen Marshall,642812219697,14/01/86,5705.94
Bethany Choi,365726077486,08/06/76,6317.62
Sabrina Gonzalez,362040221861,09/05/82,3150.79
Jon Hart,220549633261,19/04/79,4788.02
Ashley Brown,204665898558,04/03/87,8340.46
Colin Sanchez,550629773703,25/07/72,6554.37
Ann Patel,527949641412,02/02/68,8568.77
Julie Palmer,58095389636,06/04/00,6725.5
Richard Miller,203020071163,07/07/00,6375.4
William Lewis,605350158563,22/08/79,8743.87
Clayton Baker,633750648939,06/08/69,4555.76
Jamie Green,551912480069,12/07/72,8547.94
Jeffrey Miller,158073942591,09/01/82,5605.09
Jason Johnson,488272300415,04/08/58,4734.08
Emma Bishop,503071147108,11/03/77,8454.42
